"","title","description","contributor","author","publisher"
"2469","KNOCKOUT","

Dillon Savich and Lacey Sherlock — F.B.I. agents as well as husband and wife — try to protect a 7-year-old with psychic powers from her exploitive criminal uncle.","by Catherine Coulter","Catherine Coulter","Putnam"
"2470","BY HERESIES DISTRESSED","Intrigue on the planet Safehold.","by David Weber","David Weber","Tor/Tom Doherty"
"2471","A PLAGUE OF SECRETS","The San Francisco defense attorney Dismas Hardy must protect the secrets of his client.","by John Lescroart","John Lescroart","Dutton"
"2472","THE CROWNING GLORY OF CALLA LILY PONDER","","by Rebecca Wells","Rebecca Wells","Harper"
"2473","RELENTLESS","A writer is pursued by a sociopathic critic.","by Dean Koontz","Dean Koontz","Bantam"
"2474","THE SCARECROW","A Los Angeles Times reporter tracks a devious killer.","by Michael Connelly","Michael Connelly","Little, Brown"
"2475","THE FIXER UPPER","An unemployed Washingon lobbyist helps restore a family home in small-town Georgia.","by Mary Kay Andrews","Mary Kay Andrews","Harper/HarperCollins"
"2476","OMEN","Luke Skywalker confronts a crisis in the Jedi order; a ""Star Wars: Fate of the Jedi"" book.","by Christie Golden","Christie Golden","Del Rey/Ballantine"
"2477","THE NEIGHBOR","There are many suspects when a pretty teacher disappears.","by Lisa Gardner","Lisa Gardner","Bantam"
"2478","MEDUSA","In the eighth NUMA Files novel, Kurt Austin and his team confront a Chinese crime syndicate and a deadly virus.","by Clive Cussler and Paul Kemprecos","Clive Cussler and Paul Kemprecos","Putnam"
"2479","THE 8TH CONFESSION","Detective Lindsay Boxer and the Women''s Murder Club investigate a pair of killings.","by James Patterson and Maxine Paetro","James Patterson and Maxine Paetro","Little, Brown"
"2480","SKIN TRADE","Investigating some killings in Las Vegas, the vampire hunter Anita Blake must contend with the power of the weretigers.","by Laurell K. Hamilton","Laurell K Hamilton","Berkley"
"2481","FIRST FAMILY","Former Secret Service agents, now P.I.’s, search for a child abducted from a party at Camp David.","by David Baldacci","David Baldacci","Grand Central"
"2482","MATTERS OF THE HEART","A New York photographer falls in love with a sociopathic novelist who lures her to his isolated Irish estate.","by Danielle Steel","Danielle Steel","Delacorte"
"2483","GONE TOMORROW","Jack Reacher discovers a conspiracy dating back to the Soviet war in Afghanistan.","by Lee Child","Lee Child","Delacorte"
"2484","DUNE ROAD","In a wealthy Connecticut town, a divorced woman takes a job as an assistant to a famous reclusive novelist with a secret.","by Jane Green","Jane Green","Viking"
"2485","ROADSIDE CROSSES","A California kinesics expert pursues a killer who stalks victims using information they’ve posted online.","by Jeffery Deaver","Jeffery Deaver","Simon & Schuster"
"2486","A ROGUE OF MY OWN","A young lady’s first brush with intrigue at the court of Queen Victoria.","by Johanna Lindsey","Johanna Lindsey","Simon & Schuster"
"2487","WICKED PREY","The Minneapolis detective Lucas Davenport deals with mayhem occasioned by the Republican convention.","by John Sandford","John Sandford","Putnam"
"2488","THE STRAIN","An epidemiologist and others struggle to contain a vampiric virus that has infected New York; the first book of a trilogy.","by Guillermo del Toro and Chuck Hogan","Guillermo del Toro and Chuck Hogan","William Morrow"
"2489","CEMETERY DANCE","
The F.B.I. agent Aloysius Pendergast investigates the murder of a Times reporter.","by Douglas Preston and Lincoln Child","Douglas Preston and Lincoln Child","Grand Central"
"2490","PYGMY","Terrorists from a totalitarian country enter the Midwest disguised as exchange students in this satire.","by Chuck Palahniuk","Chuck Palahniuk","Doubleday"
"2491","THE STORY SISTERS","","by Alice Hoffman","Alice Hoffman","Shaye Areheart"
"2492","UNDEAD AND UNWELCOME","Betsy Taylor, a suburban vampire queen, tangles with a pack of werewolves.","by MaryJanice Davidson","MaryJanice Davidson","Berkley Sensation"
"2493","MY FATHER'S TEARS AND OTHER STORIES","","by John Updike","John Updike","Knopf"
"2494","ROAD DOGS","Cundo Rey and Jack Foley, characters from earlier Leonard novels, are out of prison, living with Dawn Navarro in Venice Beach, and possibly trying to go straight.","by Elmore Leonard","Elmore Leonard","William Morrow"
"2495","HEARTLESS","A woman‘s secret makes it hard for her to accept her stepbrother‘s love.","by Diana Palmer","Diana Palmer","HQN"
"2496","TEA TIME FOR THE TRADITIONALLY BUILT","The 10th novel in the No. 1 Ladies’ Detective Agency series.","by Alexander McCall Smith","Alexander McCall Smith","Pantheon"
"2497","THE SIGN","Is an apparition that has been seen around the world a sign from God, or is it connected to a mysterious high-tech project?","by Raymond Khoury","Raymond Khoury","Dutton"
"2498","ASSEGAI","A hunting guide in British East Africa on the brink of World War I spies on a German client and his mistress.","by Wilbur Smith","Wilbur Smith","Thomas Dunne/St. Martin’s"
"2499","LOVER AVENGED","A vampire ally hides his mixed blood; Book 7 of the Black Dagger Brotherhood series.","by J.R. Ward","JR Ward","New American Library"
"2500","SEDUCING AN ANGEL","In Regency England, Stephen Huxtable falls for a would-be courtesan who has been accused of murder.","by Mary Balogh","Mary Balogh","Delacorte"
"2501","THE ASSOCIATE","An idealistic law-school graduate is forced to take a job at a large, brutalizing law firm.","by John Grisham","John Grisham","Doubleday"
"2502","THE LAST CHILD","A teenager searches for his inexplicably vanished twin sister.","by John Hart","John Hart","Minotaur"
"2503","JUST TAKE MY HEART","An assistant prosecutor who has had a heart transplant discovers that her life is at risk when she tries a murder case.","by Mary Higgins Clark","Mary Higgins Clark","Simon & Schuster"
"2504","SUMMER ON BLOSSOM STREET","More stories of life and love from a Seattle knitting class.","by Debbie Macomber","Debbie Macomber","Mira"
"2505","LOITERING WITH INTENT","Stone Barrington, the New York cop turned lawyer, takes a case in Key West.","by Stuart Woods","Stuart Woods","Putnam"
"2506","BRIMSTONE","In the third novel in the Appaloosa trilogy, two lawmen protect a woman one of them loves.","by Robert B. Parker","Robert B Parker","Putnam"
"2507","THE SELECTED WORKS OF T.S. SPIVET","","by Reif Larsen","Reif Larsen","Penguin Press"
"2508","THE LEGEND OF SIGURD AND GUDRUN","The previously unpublished adventures of a medieval Norse hero, written before “The Hobbit” and “Lord of the Rings.”","by J. R. R. Tolkien. Edited by Christopher Tolkien","J R R Tolkien","Houghton Mifflin Harcourt"
"2509","BROOKLYN","An unsophisticated young Irishwoman leaves her home for New York in the 1950s. Originally published in 2009 and the basis of the 2015 movie.","by Colm Toibin","Colm Toibin","Scribner"
"2510","HANDLE WITH CARE","A woman whose daughter has a dangerous birth defect must decide whether to sue her obstetrician, an old friend.","by Jodi Picoult","Jodi Picoult","Atria"
"2511","LOOK AGAIN","Learning that her adopted son may have been abducted from his birth mother, a reporter makes the wrenching decision to investigate, and follows a trail of clues no one was meant to uncover.","by Lisa Scottoline","Lisa Scottoline","St. Martin’s"
"2512","THE PERFECT POISON","A Victorian botanist investigates a poisoning; an Arcane Society novel.","by Amanda Quick","Amanda Quick","Putnam"
"2513","HOME SAFE","A widow and her daughter cope with grief and discovery.","by Elizabeth Berg","Elizabeth Berg","Random House"
"2514","TURN COAT","Book 11 of the Dresden Files series about a wizard detective in Chicago.","by Jim Butcher","Jim Butcher","Roc"
"2515","THE LANGUAGE OF BEES","Mary Russell and her husband, Sherlock Holmes, help a painter search for his missing wife and child.","by Laurie R. King","Laurie R King","Bantam"
"2516","LONG LOST","Myron Bolitar helps an ex-lover search for her daughter.","by Harlan Coben","Harlan Coben","Dutton"
"2517","THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY","A journalist meets the island’s old Nazi resisters.","by Mary Ann Shaffer and Annie Barrows","Mary Ann Shaffer and Annie Barrows","Dial"
"2518","MR. AND MISS ANONYMOUS","","by Fern Michaels","Fern Michaels","Kensington"
"2519","FATALLY FLAKY","The caterer Goldy Schulz tries to outwit a killer on the grounds of an Aspen spa.","by Diane Mott Davidson","Diane Mott Davidson","William Morrow"
"2520","ARTHAS","A World of Warcraft fantasy novel.","by Christie Golden","Christie Golden","Pocket Books"
"2521","A RELIABLE WIFE","Complications ensue when a wealthy Wisconsin widower in 1907 advertises for a spouse.","by Robert Goolrick","Robert Goolrick","Algonquin"
"2522","BORDERLINE","Off duty and on vacation in Big Bend National Park, Anna Pigeon rescues a baby and is drawn into cross-border intrigue.","by Nevada Barr","Nevada Barr","Putnam"
"2523","ONE SECOND AFTER","A retired Army colonel in North Carolina protects his family when a nuclear blast disables the power grid.","by William R. Forstchen","William R Forstchen","Forge"
"2524","BONEMAN'S DAUGHTERS","Ryan Evans faces a serial killer who murders his young victims in a highly idiosyncratic way.","by Ted Dekker","Ted Dekker","Center Street"
"2525","PRAYERS FOR SALE","A friendship between two women in a Colorado mountain town in the 1930s.","by Sandra Dallas","Sandra Dallas","St. Martin’s"
"2526","PERFECT FIFTHS","The final book in the Jessica Darling series.","by Megan McCafferty","Megan McCafferty","Crown"
"2527","TRUE DETECTIVES","In the 24th Alex Delaware novel, the interracial half-brothers from “Bones” investigate a young woman’s death.","by Jonathan Kellerman","Jonathan Kellerman","Ballantine"
"2528","CURSED","

The P.I. Regan Reilly returns to Los Angeles to help a friend who has bad luck.","by Carol Higgins Clark","Carol Higgins Clark","Scribner"
"2529","CORSAIR","Juan Cabrillo and the crew of the Oregon search for a missing secretary of state whose plane has been shot down.","by Clive Cussler and Jack Du Brul","Clive Cussler and Jack Du Brul","Putnam"
"2530","THE GEOMETRY OF SISTERS","","by Luanne Rice","Luanne Rice","Bantam"
"2531","MALICE","A New Orleans detective is stalked by his dead first wife.","by Lisa Jackson","Lisa Jackson","Kensington"
"2532","LAVENDER MORNING","A woman inherits a house and a mystery in a Virginia town; the first book in the new Edilean series.","by Jude Deveraux","Jude Deveraux","Atria"
"2533","ONCE A RUNNER","A young runner trains for a critical race.","by John L. Parker Jr.","John L Parker Jr","Scribner"
"2534","OUTCAST","The start of a new series about the extended Skywalker family; a “Star Wars” novel.","by Aaron Allston","Aaron Allston","Del Rey/Ballantine"
"2535","RUN FOR YOUR LIFE","A detective raising 10 children alone must stop a killer who has targeted New York’s rich and powerful.","by James Patterson and Michael Ledwidge","James Patterson and Michael Ledwidge","Little, Brown"
"2536","SMOOTH TALKING STRANGER","When her sister abandons her baby, a woman finds herself falling in love both with the child and with his putative father, a Texas millionaire.","by Lisa Kleypas","Lisa Kleypas","St. Martin’s"
"2537","THE LOST QUILTER","The life of a fugitive slave after she is sent to a South Carolina plantation; an Elm Creek Quilts novel.","by Jennifer Chiaverini","Jennifer Chiaverini","Simon & Schuster"
"2538","PURSUIT","A lawyer survives a suspicious car crash that killed the first lady.","by Karen Robards","Karen Robards","Putnam"
"2539","RIDES A DREAD LEGION","Enemies unite against a demon horde; Book 1 of the Demonwar Saga.","by Raymond E. Feist","Raymond E Feist","Eos/HarperCollins"
"2540","HEART AND SOUL","A doctor establishes a heart clinic in a Dublin neighborhood.","by Maeve Binchy","Maeve Binchy","Knopf"
"2541","PROMISES IN DEATH","Lt. Eve Dallas investigates a colleague’s murder; by Nora Roberts, writing pseudonymously.","by J. D. Robb.","J D Robb","Putnam"
"2542","THE LONG FALL","Introducing Leonid McGill, a New York private detective with a complicated past.","by Walter Mosley","Walter Mosley","Riverhead"
"2543","EXECUTION DOCK","William Monk of the Thames River Police battles the owner of a floating brothel.","by Anne Perry","Anne Perry","Ballantine"
"2544","DEAD SILENCE","Doc Ford searches for a kidnapped boy.","by Randy Wayne White","Randy Wayne White","Putnam"
"2545","HOTEL ON THE CORNER OF BITTER AND SWEET","

A friendship between a Chinese-American boy and a Japanese-American girl who are students in Seattle during World War II.","by Jamie Ford","Jamie Ford","Ballantine"
"2546","ONE DAY AT A TIME","A mother and her two daughters in a Hollywood family find very different kinds of love.","by Danielle Steel","Danielle Steel","Delacorte"
"2547","PATHS OF GLORY","Did George Mallory, who died climbing Mt. Everest in 1924, reach the summit?","by Jeffrey Archer","Jeffrey Archer","St. Martin’s"
"2548","WHITE WITCH, BLACK CURSE","A witch who is also a bounty hunter avenges her lover’s murder; Book 7 of the Hollows series.","by Kim Harrison","Kim Harrison","Eos/William Morrow"
"2549","TERMINAL FREEZE","Scientists discover an ancient creature frozen in an Arctic cave and thaw it despite the villagers’ warnings.","by Lincoln Child","Lincoln Child","Doubleday"
"2550","LIFE SENTENCES","","by Laura Lippman","Laura Lippman","William Morrow"
"2551","FOOL","King Lear’s fool tries to set things right in this comic, bawdy version.","by Christopher Moore","Christopher Moore","William Morrow"
